type,price,quantity,date,commission,return,cumulative_return
buy,4019.75,1,2022-05-13,0.45,0.02277208828954902,0.945132810244838
sell,3922.75,1,2022-05-18,0.45,-0.0011458399643516914,0.9429039993348878
buy,3897.75,1,2022-05-19,0.45,-0.03035014615336773,0.8839365789931113
sell,3899.5,1,2022-05-20,0.45,-0.005926964501943743,0.8727705537655057
buy,3940.5,1,2022-05-24,0.45,0.010967866076582622,0.8933108503913734
sell,4175.25,1,2022-06-02,0.45,0.07071419412745228,1.0271948014095607
buy,4016.25,1,2022-06-09,0.45,0.019223448800913534,1.0661644768839356
sell,3899.0,1,2022-06-10,0.45,-0.06616370277228911,0.9294593845567247
buy,3750.5,1,2022-06-13,0.45,-0.06616868969810141,0.8017895852549011
sell,3736.75,1,2022-06-14,0.45,-0.04161323416260576,0.7268112933319446
buy,3789.25,1,2022-06-15,0.45,0.010331955739234733,0.7446526311846609
sell,3668.25,1,2022-06-16,0.45,-0.01833143774670498,0.7126706400864742
buy,3663.760009765625,1,2022-06-17,0.45,-0.03311736893432082,0.655951494635751
sell,3767.75,1,2022-06-21,0.45,0.027124650719007715,0.7008686005353646
buy,3762.75,1,2022-06-22,0.45,0.027018688443162464,0.7468238393359874
sell,4024.5,1,2022-07-27,0.45,0.06814411784221353,0.8658596088932868
buy,4231.5,1,2022-08-19,0.45,0.12457644010364755,1.0983017567023965
sell,4141.25,1,2022-08-22,0.45,0.02900981488383647,1.159173102234762
buy,4130.5,1,2022-08-23,0.45,-0.023868604513765823,1.1076366533807596
sell,4142.75,1,2022-08-24,0.45,0.0003622094778146234,1.1084000593524035
buy,4201.0,1,2022-08-25,0.45,0.017068151555501787,1.1443865511050593
sell,4059.5,1,2022-08-26,0.45,-0.020095347293464516,1.1012943586291684
buy,4031.25,1,2022-08-29,0.45,-0.04040704594144251,1.0163872609435454
sell,3987.5,1,2022-08-30,0.45,-0.017736174405714955,0.9806242648139887
buy,3956.5,1,2022-08-31,0.45,-0.018542635658914675,0.9438982706943371
sell,3968.75,1,2022-09-01,0.45,-0.00470219435736674,0.9347576832145832
buy,3924.5,1,2022-09-02,0.45,-0.008087956527233708,0.9191094471820123
sell,3910.5,1,2022-09-06,0.45,-0.014677165354330723,0.8909423604926636
buy,3980.0,1,2022-09-07,0.45,0.014141928908141255,0.9176839329241437
sell,3931.25,1,2022-09-13,0.45,0.0053062268252142,0.9278595988513081
buy,3947.5,1,2022-09-14,0.45,-0.00816582914572861,0.9121170267501355
sell,3871.239990234375,1,2022-09-16,0.45,-0.015264867348966593,0.8829288139810942
buy,3917.25,1,2022-09-19,0.45,-0.007663077897403392,0.8684997838042918
sell,3872.75,1,2022-09-20,0.45,0.0003900584229947768,0.8692286078833287
buy,3806.25,1,2022-09-21,0.45,-0.028336205246027202,0.816261762398601
sell,3772.0,1,2022-09-22,0.45,-0.026015105545155293,0.7690115209521717
buy,3709.0,1,2022-09-23,0.45,-0.025550082101806204,0.7238131313528027
sell,3670.0,1,2022-09-26,0.45,-0.027041357370095387,0.6771988844286283
buy,3661.0,1,2022-09-27,0.45,-0.012941493664060388,0.6554934256924261
sell,3732.0,1,2022-09-28,0.45,0.016893732970027164,0.6834608895597094
buy,3654.25,1,2022-09-29,0.45,-0.0018437585359191155,0.6803569941746976
sell,3601.5,1,2022-09-30,0.45,-0.034967845659164,0.6215985301501001
buy,3690.25,1,2022-10-03,0.45,0.00985154272422517,0.6375737773514145
sell,3625.25,1,2022-10-10,0.45,0.0065944745245036795,0.6483727159081536
buy,3599.25,1,2022-10-11,0.45,-0.024659575909491194,0.6077245437930823
sell,3588.5,1,2022-10-12,0.45,-0.010137231915040346,0.5914266672371493
